Country,HDI,Population,Area,Gini,Neighbours
Nigeria,0.539,186988000.0,923768.0,48.8,4.0
Ivory Coast,0.538,22671331.0,322463.0,41.5,5.0
Tanzania,0.529,55155000.0,945087.0,37.6,8.0
Madagascar,0.528,22434363.0,587041.0,44.1,0.0
Lesotho,0.527,1894194.0,30355.0,52.5,1.0
Djibouti,0.524,900000.0,23200.0,40.0,3.0
Togo,0.515,7143000.0,56785.0,34.4,3.0
Senegal,0.512,14799859.0,196722.0,39.2,5.0
Afghanistan,0.511,27657145.0,652230.0,27.8,6.0
Haiti,0.51,11078033.0,27750.0,59.2,1.0
Sudan,0.51,12131000.0,619745.0,45.5,6.0
Gambia,0.496,1882450.0,11295.0,0.0,1.0
Ethiopia,0.485,92206005.0,1104300.0,29.8,6.0
Malawi,0.483,16832910.0,118484.0,39.0,3.0
Democratic Republic of the Congo,0.48,85026000.0,2344858.0,0.0,9.0
Guinea-Bissau,0.48,1547777.0,36125.0,35.5,2.0
Liberia,0.48,4615000.0,111369.0,38.2,3.0
Guinea,0.477,1222442.0,28051.0,0.0,2.0
Yemen,0.47,27478000.0,527968.0,37.7,2.0
Eritrea,0.459,5352000.0,117600.0,0.0,3.0
Mozambique,0.456,26423700.0,801590.0,45.7,6.0
Burkina Faso,0.452,19034397.0,272967.0,39.8,6.0
Sierra Leone,0.452,7075641.0,71740.0,42.5,2.0
Mali,0.434,18135000.0,1240192.0,33.0,7.0
Burundi,0.433,10114505.0,27834.0,33.3,3.0
South Sudan,0.433,140.0,7747.0,0.0,0.0
Chad,0.398,14497000.0,1284000.0,39.8,6.0
Central African Republic,0.397,4998000.0,622984.0,56.3,6.0
Niger,0.394,20715000.0,1267000.0,34.6,7.0
